question,answer,question keywords,answer keywords,combined keywords
What is the name of the Wizard village near Hogwarts?,Hogsmeade,"['village', 'wizard', 'near', 'what', 'name', 'hogwarts']",['hogsmeade'],"['village', 'wizard', 'near', 'what', 'name', 'hogwarts', 'hogsmeade']"
Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist,"['which', 'book', 'movie', 'feature', 'character', 'mischievous']","['poltergeist', 'peeve']","['which', 'book', 'movie', 'feature', 'character', 'mischievous', 'poltergeist', 'peeve']"
Which house does Harry Potter belong to?,Gryffindor,"['which', 'harry', 'potter', 'house', 'belong']",['gryffindor'],"['which', 'harry', 'potter', 'house', 'belong', 'gryffindor']"
What is not an alternate name for Wolfsbane?,Belladonna,"['wolfsbane', 'alternate', 'name', 'what']",['belladonna'],"['wolfsbane', 'alternate', 'name', 'what', 'belladonna']"
What is the opposite of conjuration?,Vanishment,"['opposite', 'conjuration', 'what']",['vanishment'],"['opposite', 'conjuration', 'what', 'vanishment']"
"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris.","['book', 'basilisk', 'victim', 'who', 'first', 'petrified']","['mr', 'norris', 'filchs', 'cat']","['book', 'basilisk', 'victim', 'who', 'first', 'petrified', 'mr', 'norris', 'filchs', 'cat']"
Who was the Minister of Magic during the First World War?,Archie Evermonde,"['who', 'war', 'first', 'minister', 'magic', 'world']","['evermonde', 'archie']","['who', 'war', 'first', 'minister', 'magic', 'world', 'evermonde', 'archie']"
Who is the author of 'Fantastic Beasts and Where to Find Them'?,Newt Scamander,"['fantastic', 'author', 'where', 'who', 'find', 'beast']","['newt', 'scamander']","['fantastic', 'author', 'where', 'who', 'find', 'beast', 'newt', 'scamander']"
Which charm freezes the target in place?,Immobulus,"['place', 'which', 'charm', 'target', 'freeze']",['immobulus'],"['place', 'which', 'charm', 'target', 'freeze', 'immobulus']"
Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart,"['hogwarts', 'teach', 'who', 'defense', 'art', 'year', 'harrys', 'second', 'dark']","['lockhart', 'gilderoy']","['hogwarts', 'teach', 'who', 'defense', 'art', 'year', 'harrys', 'second', 'dark', 'lockhart', 'gilderoy']"
Who discovered the law of elemental transfiguration?,Gamp,"['law', 'transfiguration', 'who', 'elemental', 'discover']",['gamp'],"['law', 'transfiguration', 'who', 'elemental', 'discover', 'gamp']"
Who played Professor Dumbledore in the first movie?,Richard Harris,"['movie', 'who', 'professor', 'first', 'play', 'dumbledore']","['richard', 'harris']","['movie', 'who', 'professor', 'first', 'play', 'dumbledore', 'richard', 'harris']"
"On his first ride aboard the Hogwarts Express, whose card did Harry get with his chocolate frog?",Dumbledore,"['whose', 'harry', 'get', 'express', 'first', 'chocolate', 'aboard', 'frog', 'card', 'ride', 'hogwarts']",['dumbledore'],"['whose', 'harry', 'get', 'express', 'first', 'chocolate', 'aboard', 'frog', 'card', 'ride', 'hogwarts', 'dumbledore']"
What is the antidote to Swelling Solution?,Deflating Draught,"['solution', 'antidote', 'swell', 'what']","['draught', 'deflate']","['solution', 'antidote', 'swell', 'what', 'draught', 'deflate']"
Which team is in last place?,Chudley Cannons,"['team', 'which', 'place', 'last']","['chudley', 'cannon']","['team', 'which', 'place', 'last', 'chudley', 'cannon']"
What are 'wildcats' referring to?,The Gargoyles on strike.,"['wildcats', 'refer', 'what']","['gargoyle', 'strike']","['wildcats', 'refer', 'what', 'gargoyle', 'strike']"
What type of ball attempts to hit players?,Bludger,"['hit', 'type', 'ball', 'attempt', 'what', 'player']",['bludger'],"['hit', 'type', 'ball', 'attempt', 'what', 'player', 'bludger']"
What was the Hippogriff Buckbeak called when he returned to Hogwarts?,Witherwing,"['call', 'buckbeak', 'when', 'return', 'what', 'hippogriff', 'hogwarts']",['witherwing'],"['call', 'buckbeak', 'when', 'return', 'what', 'hippogriff', 'hogwarts', 'witherwing']"
Who was the Rook in the Chessboard Chamber?,Hermione Granger,"['rook', 'who', 'chamber', 'chessboard']","['hermione', 'granger']","['rook', 'who', 'chamber', 'chessboard', 'hermione', 'granger']"
Which creatures feed on the human brain and helped Newt Scamander escape?,Swooping Evil,"['creatures', 'which', 'help', 'human', 'brain', 'escape', 'newt', 'scamander', 'fee']","['evil', 'swoop']","['creatures', 'which', 'help', 'human', 'brain', 'escape', 'newt', 'scamander', 'fee', 'evil', 'swoop']"
What house is Justin Finch-Fletchley in?,Hufflepuff,"['finchfletchley', 'house', 'justin', 'what']",['hufflepuff'],"['finchfletchley', 'house', 'justin', 'what', 'hufflepuff']"
What book is instrumental for this lesson?,Charm Your Own Cheese.,"['lesson', 'instrumental', 'book', 'what']","['cheese', 'charm']","['lesson', 'instrumental', 'book', 'what', 'cheese', 'charm']"
Name a crushed ingredient that is used in cure for boils.,Snake fang,"['ingredient', 'cure', 'crush', 'use', 'boil', 'name']","['snake', 'fang']","['ingredient', 'cure', 'crush', 'use', 'boil', 'name', 'snake', 'fang']"
Where is the Slytherin Common Room?,The Dungeons,"['room', 'where', 'slytherin', 'common']",['dungeon'],"['room', 'where', 'slytherin', 'common', 'dungeon']"
What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra,"['spell', 'harry', 'snape', 'later', 'invent', 'malfoy', 'use', 'what', 'draco']",['sectumsempra'],"['spell', 'harry', 'snape', 'later', 'invent', 'malfoy', 'use', 'what', 'draco', 'sectumsempra']"
What does Hermione smell in the amortenia (or love) potion?,"Grass, parchment, spearmint toothpaste and Ron Weasley’s hair","['hermione', 'potion', 'smell', 'what', 'love', 'amortenia']","['parchment', 'hair', 'ron', 'weasleys', 'spearmint', 'grass', 'toothpaste']","['hermione', 'potion', 'smell', 'what', 'love', 'amortenia', 'parchment', 'hair', 'ron', 'weasleys', 'spearmint', 'grass', 'toothpaste']"
The crop circles in Muggle legends might have been left by what magical creature?,Mooncalf,"['circle', 'muggle', 'might', 'leave', 'magical', 'crop', 'what', 'creature', 'legend']",['mooncalf'],"['circle', 'muggle', 'might', 'leave', 'magical', 'crop', 'what', 'creature', 'legend', 'mooncalf']"
Who anonymously sends Harry his father's Invisibility Cloak on Christmas?,Albus Dumbledore,"['harry', 'send', 'anonymously', 'who', 'father', 'christmas', 'cloak', 'invisibility']","['dumbledore', 'albus']","['harry', 'send', 'anonymously', 'who', 'father', 'christmas', 'cloak', 'invisibility', 'dumbledore', 'albus']"
Where does Harry Potter first see Draco Malfoy?,In Madame Malkin’s Robes for All Occasions,"['harry', 'see', 'potter', 'where', 'first', 'malfoy', 'draco']","['occasion', 'robes', 'malkins', 'madame']","['harry', 'see', 'potter', 'where', 'first', 'malfoy', 'draco', 'occasion', 'robes', 'malkins', 'madame']"
When did the wildcat gargoyle strike the place?,1911,"['place', 'wildcat', 'when', 'gargoyle', 'strike']",[],"['place', 'wildcat', 'when', 'gargoyle', 'strike']"
Who is the potions professor?,Professor Severus Snape,"['who', 'potions', 'professor']","['professor', 'snape', 'severus']","['who', 'potions', 'professor', 'professor', 'snape', 'severus']"
What magical creature is Ron deathly afraid of?,Spiders,"['magical', 'deathly', 'ron', 'what', 'creature', 'afraid']",['spider'],"['magical', 'deathly', 'ron', 'what', 'creature', 'afraid', 'spider']"
What is Rowena Ravenclaw's signature item?,Diadem,"['ravenclaws', 'item', 'rowena', 'signature', 'what']",['diadem'],"['ravenclaws', 'item', 'rowena', 'signature', 'what', 'diadem']"
Who teaches Care of Magical Creatures?,Silvanus Kettleburn,"['teach', 'who', 'magical', 'creature', 'care']","['kettleburn', 'silvanus']","['teach', 'who', 'magical', 'creature', 'care', 'kettleburn', 'silvanus']"
What's the first step to performing a Bell Tailslide?,Flying straight up.,"['perform', 'first', 'step', 'bell', 'whats', 'tailslide']","['fly', 'straight']","['perform', 'first', 'step', 'bell', 'whats', 'tailslide', 'fly', 'straight']"
What does Amortentia smell like?,It depends,"['like', 'amortentia', 'smell', 'what']",['depends'],"['like', 'amortentia', 'smell', 'what', 'depends']"
Which of the following traits does the Occamy exhibit?,Choranaptyxis,"['which', 'follow', 'occamy', 'exhibit', 'trait']",['choranaptyxis'],"['which', 'follow', 'occamy', 'exhibit', 'trait', 'choranaptyxis']"
What trait do I* value most in a student?,Intellect,"['value', 'trait', 'student', 'what']",['intellect'],"['value', 'trait', 'student', 'what', 'intellect']"
Which famous Auror crashed Bill's party?,Alastor Moody.,"['which', 'auror', 'party', 'famous', 'crash', 'bill']","['moody', 'alastor']","['which', 'auror', 'party', 'famous', 'crash', 'bill', 'moody', 'alastor']"
What charm can repel a Lethifold?,Patronus Charm,"['repel', 'lethifold', 'charm', 'what']","['charm', 'patronus']","['repel', 'lethifold', 'charm', 'what', 'charm', 'patronus']"
What did Fred and George use to protest against Dolores Umbridge's authority?,Weasley's Wildfire Whiz-bangs,"['dolores', 'george', 'umbridges', 'protest', 'use', 'fred', 'what', 'authority']","['wildfire', 'weasleys', 'whizbang']","['dolores', 'george', 'umbridges', 'protest', 'use', 'fred', 'what', 'authority', 'wildfire', 'weasleys', 'whizbang']"
Which of these plants bloom instantly?,Puffapod,"['bloom', 'which', 'plant', 'instantly']",['puffapod'],"['bloom', 'which', 'plant', 'instantly', 'puffapod']"
What is true about tortoises?,Some live over 200 years.,"['tortoise', 'true', 'what']","['live', 'year']","['tortoise', 'true', 'what', 'live', 'year']"
What does Hermione say Jupiter's largest moon is?,Ganymede,"['hermione', 'say', 'large', 'jupiter', 'what', 'moon']",['ganymede'],"['hermione', 'say', 'large', 'jupiter', 'what', 'moon', 'ganymede']"
Which of the following is not a Horcrux?,Elder Wand,"['which', 'horcrux', 'follow']","['elder', 'wand']","['which', 'horcrux', 'follow', 'elder', 'wand']"
"In Book 5, Snape is assigned to teach Harry what type of magic?",Occlumency.,"['assign', 'harry', 'book', 'snape', 'teach', 'type', 'magic', 'what']",['occlumency'],"['assign', 'harry', 'book', 'snape', 'teach', 'type', 'magic', 'what', 'occlumency']"
How is the Grey Lady related to Rowena Ravenclaw?,She's Rowena's daughter.,"['ravenclaw', 'grey', 'how', 'rowena', 'relate', 'lady']","['daughter', 'rowenas', 'shes']","['ravenclaw', 'grey', 'how', 'rowena', 'relate', 'lady', 'daughter', 'rowenas', 'shes']"
What can you counteract by consuming Moly?,Enchantments.,"['consume', 'moly', 'counteract', 'what']",['enchantment'],"['consume', 'moly', 'counteract', 'what', 'enchantment']"
How do you greet a Hippogriff?,With a bow,"['how', 'greet', 'hippogriff']",['bow'],"['how', 'greet', 'hippogriff', 'bow']"
Which puzzle guarding the Sorcerer’s Stone does Hermione Granger solve?,Professor Snape’s logic puzzle with potion bottles,"['which', 'hermione', 'sorcerer', 'solve', 'puzzle', 'guard', 'granger', 'stone']","['potion', 'logic', 'professor', 'puzzle', 'bottle', 'snapes']","['which', 'hermione', 'sorcerer', 'solve', 'puzzle', 'guard', 'granger', 'stone', 'potion', 'logic', 'professor', 'puzzle', 'bottle', 'snapes']"
What is the title of this book and movie everywhere except in the United States?,Harry Potter and the Philosopher’s Stone,"['united', 'title', 'book', 'except', 'movie', 'everywhere', 'what', 'state']","['potter', 'stone', 'harry', 'philosopher']","['united', 'title', 'book', 'except', 'movie', 'everywhere', 'what', 'state', 'potter', 'stone', 'harry', 'philosopher']"
Harry and Ginny have three children. What are their names?,"James, Albus, and Lily.","['harry', 'ginny', 'what', 'three', 'child', 'name']","['lily', 'albus', 'james']","['harry', 'ginny', 'what', 'three', 'child', 'name', 'lily', 'albus', 'james']"
Who are the members of the 'Golden Trio'?,"Harry Potter, Ron Weasley, Hermione Granger","['who', 'trio', 'member', 'golden']","['harry', 'hermione', 'weasley', 'potter', 'ron', 'granger']","['who', 'trio', 'member', 'golden', 'harry', 'hermione', 'weasley', 'potter', 'ron', 'granger']"
What item cannot be conjured?,Food,"['item', 'conjure', 'what']",['food'],"['item', 'conjure', 'what', 'food']"
What spell works on the Whomping WIllow to stop it from attacking?,The Freezing Charm,"['willow', 'spell', 'work', 'attacking', 'whomp', 'stop', 'what']","['freeze', 'charm']","['willow', 'spell', 'work', 'attacking', 'whomp', 'stop', 'what', 'freeze', 'charm']"
What was Uric the Oddball best known for wearing on his head?,A jellyfish,"['oddball', 'wear', 'head', 'uric', 'what', 'best', 'know']",['jellyfish'],"['oddball', 'wear', 'head', 'uric', 'what', 'best', 'know', 'jellyfish']"
What spell provides protection against Dementors?,Expecto Patronum,"['spell', 'provide', 'protection', 'dementors', 'what']","['expecto', 'patronum']","['spell', 'provide', 'protection', 'dementors', 'what', 'expecto', 'patronum']"
"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail?",Wormtail,"['lily', 'snape', 'padfoot', 'moony', 'potter', 'who', 'professor', 'betray', 'james', 'wormtail']",['wormtail'],"['lily', 'snape', 'padfoot', 'moony', 'potter', 'who', 'professor', 'betray', 'james', 'wormtail', 'wormtail']"
Which incantation conjures flowers?,Orchideous,"['which', 'flower', 'incantation', 'conjure']",['orchideous'],"['which', 'flower', 'incantation', 'conjure', 'orchideous']"
Where did Harry begin hearing the voice that no one else could hear?,In Professor Lockhart’s office,"['could', 'harry', 'one', 'where', 'voice', 'else', 'begin', 'hear']","['professor', 'lockharts', 'office']","['could', 'harry', 'one', 'where', 'voice', 'else', 'begin', 'hear', 'professor', 'lockharts', 'office']"
What is Tulip’s prank of choice?,Dungbomb,"['prank', 'tulips', 'choice', 'what']",['dungbomb'],"['prank', 'tulips', 'choice', 'what', 'dungbomb']"
Who was Ron's first girlfriend?,Lavender Brown,"['first', 'who', 'rons', 'girlfriend']","['lavender', 'brown']","['first', 'who', 'rons', 'girlfriend', 'lavender', 'brown']"
The Blast-Ended Skrewt is a hybrid of a Fire Crab and what?,Manticore,"['skrewt', 'what', 'fire', 'blastended', 'hybrid', 'crab']",['manticore'],"['skrewt', 'what', 'fire', 'blastended', 'hybrid', 'crab', 'manticore']"
What was the Seeker originally called?,The Hunter,"['originally', 'seeker', 'call', 'what']",['hunter'],"['originally', 'seeker', 'call', 'what', 'hunter']"
"What does Hogwarts say you should never do, but I'd love to do?",Tickle a Sleeping Dragon,"['never', 'say', 'id', 'what', 'love', 'hogwarts']","['sleep', 'tickle', 'dragon']","['never', 'say', 'id', 'what', 'love', 'hogwarts', 'sleep', 'tickle', 'dragon']"
What is the wand motion for Wingardium Leviosa?,Swish and Flick,"['motion', 'wingardium', 'wand', 'leviosa', 'what']","['flick', 'swish']","['motion', 'wingardium', 'wand', 'leviosa', 'what', 'flick', 'swish']"
How is Quodpot different from Quiddtich?,The ball explodes.,"['how', 'quodpot', 'different', 'quiddtich']","['ball', 'explodes']","['how', 'quodpot', 'different', 'quiddtich', 'ball', 'explodes']"
"In Book 4, who does Hermione Granger go with to the Yule Ball?",Viktor Krum.,"['hermione', 'book', 'who', 'ball', 'granger', 'yule', 'go']","['krum', 'viktor']","['hermione', 'book', 'who', 'ball', 'granger', 'yule', 'go', 'krum', 'viktor']"
What's Tonks dad's name?,Ted,"['name', 'dad', 'whats', 'tonks']",['ted'],"['name', 'dad', 'whats', 'tonks', 'ted']"
Which Alchemist was active during the Medieval age?,Nicholas Flamel,"['which', 'medieval', 'alchemist', 'active', 'age']","['flamel', 'nicholas']","['which', 'medieval', 'alchemist', 'active', 'age', 'flamel', 'nicholas']"
"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks?",He jumps on Ron's head at the Magical Menagerie.,"['harry', 'hermione', 'potter', 'find', 'prisoner', 'how', 'crookshanks', 'ron', 'azkaban']","['jump', 'head', 'magical', 'ron', 'menagerie']","['harry', 'hermione', 'potter', 'find', 'prisoner', 'how', 'crookshanks', 'ron', 'azkaban', 'jump', 'head', 'magical', 'ron', 'menagerie']"
How old was Harry when he got his first letter from Hogwarts?,Eleven,"['harry', 'get', 'old', 'first', 'when', 'letter', 'how', 'hogwarts']",['eleven'],"['harry', 'get', 'old', 'first', 'when', 'letter', 'how', 'hogwarts', 'eleven']"
